Demo_RDM,Subject,ROI,RSA_Score
layer_5_pca.pkl,sub06,V2,0.13099954197480895
layer_5_pca.pkl,sub06,V3,0.11453220349674345
layer_5_pca.pkl,sub06,V4,0.07001810376840077
layer_5_pca.pkl,sub07,EBA,0.07978655977495351
layer_5_pca.pkl,sub07,FFA,0.056154199141473154
layer_5_pca.pkl,sub07,LOC,0.10768832406894585
layer_5_pca.pkl,sub07,PPA,0.019346394989801757
layer_5_pca.pkl,sub07,STS,0.04314153850688853
layer_5_pca.pkl,sub07,V1,0.05504069699388633
layer_5_pca.pkl,sub07,V2,0.06514428644595127
layer_5_pca.pkl,sub07,V3,0.06738796074984878
layer_5_pca.pkl,sub07,V4,0.05642941969344334
layer_5_pca.pkl,sub08,EBA,0.09802103099269438
layer_5_pca.pkl,sub08,FFA,0.12831175019437294
layer_5_pca.pkl,sub08,LOC,0.1637983385795183
layer_5_pca.pkl,sub08,PPA,0.07746915003635761
layer_5_pca.pkl,sub08,STS,0.10195282064698089
layer_5_pca.pkl,sub08,V1,0.11418316666873096
layer_5_pca.pkl,sub08,V2,0.09518682328255626
layer_5_pca.pkl,sub08,V3,0.10042765129742377
layer_5_pca.pkl,sub08,V4,0.08256491911938967
layer_5_pca.pkl,sub09,EBA,0.12051626306411323
layer_5_pca.pkl,sub09,FFA,0.1095920910766718
layer_5_pca.pkl,sub09,LOC,0.16272065150460074
layer_5_pca.pkl,sub09,PPA,0.08523089471987257
layer_5_pca.pkl,sub09,STS,0.06389389780680953
layer_5_pca.pkl,sub09,V1,0.09383516642008334
layer_5_pca.pkl,sub09,V2,0.0990570147456812
layer_5_pca.pkl,sub09,V3,0.10637042042421532
layer_5_pca.pkl,sub09,V4,0.10955841830083303
layer_5_pca.pkl,sub10,EBA,0.11831688427234768
layer_5_pca.pkl,sub10,FFA,0.06034222850563455
layer_5_pca.pkl,sub10,LOC,0.14476455764820867
layer_5_pca.pkl,sub10,PPA,0.06600625469524682
layer_5_pca.pkl,sub10,STS,0.06753179537130398
layer_5_pca.pkl,sub10,V1,0.12146130768892147
layer_5_pca.pkl,sub10,V2,0.12451683825128806
layer_5_pca.pkl,sub10,V3,0.10675256921743824
layer_5_pca.pkl,sub10,V4,0.06084608581175813
